text,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен
спасибо,0,0,0,1,0
спасибо!,0,0,0,1,0
Отлично ,0,0,0,1,0
Благодарю за оперативное решение проблемы ! ,0,1,0,0,0
Прекрасный специалист! Побольше таких,0,0,1,0,0
Спасибо ,0,0,0,1,0
"пересчет, и скорость 
",1,0,0,0,0
Спасибо за обновление покраски стен,0,0,0,1,0
выполнили быстро,1,0,0,0,0
Спасибо! ,0,0,0,1,0
спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,1,1,0,1,0
"спасибо 
",0,0,0,1,0
Спасибо ,0,0,0,1,0
Решили мой вопрос. Спасибо! ,0,0,0,0,1
Очень радует работа УК. Оперативно! Спасибо!,0,1,1,1,0
Все исправили ,0,0,0,0,1
спасибо за оперативную работу ,1,0,0,0,0
"Выполнили отлично , обработка заявки была слишком дорогой ",0,0,0,1,0
спасибо большое! теперь не скрипят ,0,0,0,1,0
спасибо,0,0,0,1,0
Спасибо!,0,0,0,1,0
Норм,0,0,0,1,0
спасибо. все прошло очень хорошо,0,0,0,1,0
"Спасибо, пришли все поменяли за 10 минут ",1,0,0,0,0
Все очень оперативно ,1,0,0,0,0
Огромное спасибо.,0,0,0,1,0
Все отлично! Спасибо.,0,0,0,1,0
Хороший мастер,0,0,1,0,0
"Спасибо за оперативность! 
",1,0,0,0,0
"выполнена

",0,0,0,1,0
"Все супер, Мастер 👍",0,0,1,1,0
Благодарю ребят.,0,0,1,0,0
Спасибо большое ,0,0,0,1,0
спасибо,0,0,0,1,0
Спасибо!,0,0,0,1,0
"Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!",0,0,0,1,1
Благодарю за проделанную работу! ,0,0,0,1,0
"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",0,0,0,0,1
"Спасибо, всё чётко.",0,0,0,1,0
Благодарю ,0,0,0,1,0
Спасибо Сергей ! )))),0,0,1,0,0
"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",0,0,1,1,0
хоть что то сделали 👍👏,0,0,0,1,0
спасибо),0,0,0,1,0
"профессионально, быстро. очень приятный мастер",0,0,1,0,0
спасибо! ,0,0,0,1,0
"Спасибо, вопрос решили, всё стало нормально ",0,0,0,1,1
Татьяна Владимировна большое вам спасибо!!!! ,0,0,1,0,0
спасибо! ,0,0,0,1,0
"спасибо за  быстрый ответ! 


",0,1,0,0,1
Огромное спасибо вам от всего подъезда!!!   ))))),0,0,0,1,0
спасибо!),0,0,0,1,0
спасибо ,0,0,0,1,0
Все отлично ,0,0,0,1,0
свершилось,0,0,0,1,0
Спасибо мастеру ,0,0,1,0,0
"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",0,0,1,1,0
"Среагировали быстро, благодарю ",1,0,0,0,0
Спасибо за оперативность!,1,0,0,0,0
Отличный мастер!,0,0,1,0,0
"Спасибо! По крайней мере, по ночам пока шума не слышно.",0,0,0,1,0
Быстро ,0,0,1,0,0
Спасибо за своевременное выполнение заявки...,0,1,0,1,0
все сделали быстро. спасибо ,1,0,0,1,0
всё отлично 👍,0,0,0,1,0
Спасибо ,0,0,0,1,0
"Большое спасибо Александру,за оперативность и профессионализм ",1,0,1,0,0
благодарю ,0,0,0,1,0
оперативно и качественно. спасибо ,1,1,0,1,0
Спасибо!,0,0,0,1,0
"благодарю, всего доброго!",0,0,0,1,0
спасибо,0,0,0,1,0
Спасибо ,0,0,0,1,0
Спасибо большое! ,0,0,0,1,0
Спасибо!,0,0,0,1,0
К мастеру вопросов нет.  ,0,0,1,0,0
"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",1,0,1,1,0
"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",0,0,1,1,0
спасибо большое! надолго ли🙄,0,0,0,1,0
Огромное спасибо! ,0,0,0,1,0
Всё очень четко организовано! Большое спасибо за работу!,0,0,0,1,0
Спасибо Вам большое и за дверь и за номера квартир!,0,0,0,1,0
снимаю звезду за первую отписку без выполнения работ,0,0,0,0,1
"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ",1,0,1,1,0
Спасибо!,0,0,0,1,0
Спасибо! Все заработало ,0,1,0,1,0
"спасибо, решили мой вопрос на месте в офисе ",0,0,0,1,0
"Спасибо больше Ольге Птушкине, за проделанную работу! ",0,0,1,0,0
Спасибо ,0,0,0,1,0
"всё сделали хорошо, починили вовремя. наверное, молодцы.",0,0,0,1,0
Спасибо,0,0,0,1,0
Супер! Спасибо!,0,0,0,1,0
Отлично! Все выполнили как и обещали! ,0,0,0,1,0
Очень оперативно. Спасибо большое ,1,0,0,1,0
"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",1,0,1,1,0
Спасибо,0,0,0,1,0
спасибо,0,0,0,1,0
Спасибо ,0,0,0,1,0
Умело подкрутили редукторы давления. Молодец!,0,0,1,1,0
"все хорошо,дверь практически бесшумно закрывается",0,1,0,1,0
Спасибо ,0,0,0,1,0
спасибо),0,0,0,1,0
"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам",0,0,1,1,0
"быстро, чётко, без проблем. одно слово - мастер! ",1,1,1,1,0
Работает. Спасибо!,0,0,0,1,0
"сегодня ездил, все исправно работает, спасибо!",0,1,0,1,0
"Спасибо большое, всё понятно.",0,0,0,1,0
Татьяна спасибо ❤️,0,0,1,0,0
На вопрос ответили. Крепления нельзя повесить в колясочной,0,0,0,0,1
Большое спасибо!,0,0,0,1,0
Лучший ,0,0,0,1,0
спасибо за оперативность ,0,0,0,1,0
спасибо ,0,0,0,1,0
спасибо за то что быстро отреагировали,1,0,0,0,0
"Сервис на высоте, мастер - профессионал",0,1,1,0,0
спасибо,0,0,0,1,0
спасибо большое,0,0,0,1,0
ок ,0,0,0,1,0
Надолго ли(,0,0,0,0,1
Надолго ли(,0,0,0,0,1
Спасибо. Все работает,0,0,0,1,0
Спасибо большое!,0,0,0,1,0
Спасибо!,0,0,0,1,0
"заявка выполнена, спасибо.",0,0,0,1,0
Дверь закрывается намного лучше.,0,1,0,1,0
Спасибо за быстрое реагирование!!!,1,0,0,0,0
"Оперативно сработали, благодарю.",1,0,0,1,0
спасибо большое,0,0,0,1,0
"Спасибо сантехнику Алексею, все сделано качественно ",0,1,1,0,0
"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!",1,1,1,1,0
Очень оперативно и никуда не пришлось ходить.,1,0,0,1,0
Проблема решена.,0,0,0,1,0
Очень оперативно отреагировали! Спасибо!,1,0,0,1,0
"оперативно, качественно, вопросов не возникло. Спасибо.",1,1,0,1,0
Быстро!,1,0,0,0,0
Благодарю за оперативность!,1,0,0,0,0
спасибо за оперативное решение проблемы. ,0,0,0,0,1
Оперативная работа,1,0,0,0,0
"оперативное решение проблемы! 
",1,0,0,0,0
Первый раз вы решили вопрос быстро ,1,0,0,0,0
Надолго ли,0,0,0,0,1
отлично спасибо ,0,0,0,1,0
"спасибо большое, Татьяна.",0,0,1,0,0
спасибо ,0,0,0,1,0
Лучший мастер на свете 🥰Спасибо большое 🙏,0,0,1,0,0
"Спасибо большое, что починили домофон. ",0,0,0,1,0
Отличная работа,0,0,0,1,0
Спасибо огромное за помощь!,0,0,0,1,0
"обычная услуга. Цена, правда, завышена (за около 10ти минут работы). ",0,0,0,0,1
отличная работа. теперь дверь закрывается плавно. спасибо. ,0,1,0,1,0
